"","Protein1","Protein2","Spectra_Count","Site_Count","Gene1","Gene2","Context","CC","MF","BP"
"130","O00159","P26639",1,1,"MYO1C","TARS1","poor",0.469,0.635,0.078
"131","O00159","P31689",2,1,"MYO1C","DNAJA1","poor",0.69,0.672,0.289
"132","O00231","O00232",13,4,"PSMD11","PSMD12","rich",0.95,1,1
"133","O00231","P62195",1,1,"PSMD11","PSMC5","poor",0.87,0.536,0.412
"134","O00231","Q15008",2,2,"PSMD11","PSMD6","poor",0.947,1,1
"135","O00232","P51665",2,1,"PSMD12","PSMD7","poor",0.97,1,1
"136","O00232","Q9UNM6",30,3,"PSMD12","PSMD13","rich",0.957,0.306,1
"137","O00233","P21291",3,1,"PSMD9","CSRP1","poor",0.675,0.528,0.083
"138","O00287","P06733",3,1,"RFXAP","ENO1","poor",0.45,0.612,0.334
"139","O00303","Q7L2H7",1,1,"EIF3F","EIF3M","poor",0.897,0.766,0.72
"140","O00461","P00558",1,1,"GOLIM4","PGK1","poor",0.513,0,0
"141","O00468","Q00341",1,1,"AGRN","HDLBP","poor",0.528,0.519,0.072
"142","O00479","O60814",1,1,"HMGN4","H2BC12","poor",0.697,0.638,0.213
"143","O00479","P06899",1,1,"HMGN4","H2BC11","poor",0.636,0.626,1
"144","O00479","P23527",1,1,"HMGN4","H2BC17","poor",0.76,0.662,0.46
"145","O00479","P33778",1,1,"HMGN4","H2BC3","poor",0.751,0.662,0.46
"146","O00479","P57053",1,1,"HMGN4","H2BC12L","poor",0.697,0.517,0.054
"147","O00479","P58876",1,1,"HMGN4","H2BC5","poor",0.695,0.638,0
"148","O00479","P62807",1,1,"HMGN4","H2BC4","poor",0.647,0.678,0.46
"149","O00479","P68431",1,1,"HMGN4","H3C1","poor",0.594,0.661,1
"150","O00479","P84243",1,1,"HMGN4","H3-3A","poor",0.633,0.664,0.715
"151","O00479","Q16695",1,1,"HMGN4","H3-4","poor",0.737,0.662,1
"152","O00479","Q16778",1,1,"HMGN4","H2BC21","poor",0.647,0.662,0.46
"153","O00479","Q5QNW6",1,1,"HMGN4","H2BC18","poor",0.695,0.526,0
"154","O00479","Q5TEC6",1,1,"HMGN4","H3-7","poor",0.832,0.517,0
"155","O00479","Q6NXT2",1,1,"HMGN4","H3-5","poor",0.867,0.775,0.261
"156","O00479","Q71DI3",1,1,"HMGN4","H3C15","poor",0.687,0.662,1
"157","O00479","Q8N257",1,1,"HMGN4","H2BU1","poor",0,0,0
"158","O00479","Q93079",1,1,"HMGN4","H2BC9","poor",0.631,0.66,0.46
"159","O00479","Q96A08",1,1,"HMGN4","H2BC1","poor",0.747,0.575,0.855
"160","O00479","Q99877",1,1,"HMGN4","H2BC15","poor",0.695,0.517,0.46
"161","O00479","Q99879",1,1,"HMGN4","H2BC14","poor",0.695,0.517,0.46
"162","O00479","Q99880",1,1,"HMGN4","H2BC13","poor",0.695,0.662,0.46
"163","O00479","Q9GZR7",1,1,"HMGN4","DDX24","poor",0.523,0.476,0.094
"164","O00487","P51665",2,1,"PSMD14","PSMD7","poor",0.921,0.415,1
"165","O00487","Q15008",3,1,"PSMD14","PSMD6","poor",0.957,1,1
"166","O00487","Q99460",2,1,"PSMD14","PSMD1","poor",0.876,0.456,0.537
"167","O00487","Q9UIF9",3,1,"PSMD14","BAZ2A","poor",0.63,0.505,0.265
"168","O00507","P26639",1,1,"USP9Y","TARS1","poor",0.696,0.291,0.328
"169","O00507","P31689",2,1,"USP9Y","DNAJA1","poor",0.758,0.333,0.333
"170","O00541","P52948",1,1,"PES1","NUP98","poor",0.686,0.593,0.223
"171","O00567","P55769",3,1,"NOP56","SNU13","poor",0.729,0.858,0.689
"172","O00567","P62241",1,1,"NOP56","RPS8","poor",0.801,0.798,0.695
"173","O00567","Q00688",1,1,"NOP56","FKBP3","poor",0.697,0.695,0
"174","O00567","Q14789",1,1,"NOP56","GOLGB1","poor",0.527,0.844,0.197
"175","O00567","Q8TAQ2",1,1,"NOP56","SMARCC2","poor",0.584,0.608,0.15
"176","O14604","P60709",6,1,"TMSB4Y","ACTB","poor",0.554,0.53,0.21
"177","O14604","P62736",6,1,"TMSB4Y","ACTA2","poor",0.55,0.359,0.185
"178","O14604","P63261",6,1,"TMSB4Y","ACTG1","poor",0.594,0.551,0.317
"179","O14604","P63267",6,1,"TMSB4Y","ACTG2","poor",0.622,0.187,0.072
"180","O14604","P68032",6,1,"TMSB4Y","ACTC1","poor",0.554,0.39,0.378
"181","O14604","P68133",6,1,"TMSB4Y","ACTA1","poor",0.596,0.508,0.182
"182","O14604","Q562R1",6,1,"TMSB4Y","ACTBL2","poor",0.576,0.561,0.407
"183","O14617","P35579",1,1,"AP3D1","MYH9","poor",0.495,1,0.329
"184","O14734","O95678",1,1,"ACOT8","KRT75","poor",0.477,0.306,0.12
"185","O14734","P02538",1,1,"ACOT8","KRT6A","poor",0.546,0.259,0.129
"186","O14734","P04259",1,1,"ACOT8","KRT6B","poor",0.564,0.259,0.116
"187","O14734","P05787",1,1,"ACOT8","KRT8","poor",0.468,0.323,0.085
"188","O14734","P08729",1,1,"ACOT8","KRT7","poor",0.536,0.262,0.123
"189","O14734","P12035",1,1,"ACOT8","KRT3","poor",0.512,0.262,0.162
"190","O14734","P13647",1,1,"ACOT8","KRT5","poor",0.546,0.295,0.121
"191","O14734","P35908",1,1,"ACOT8","KRT2","poor",0.505,0.295,0.166
"192","O14734","P48668",1,1,"ACOT8","KRT6C","poor",0.512,0.262,0.167
"193","O14734","Q01546",1,1,"ACOT8","KRT76","poor",0.521,0.262,0.166
"194","O14734","Q5XKE5",1,1,"ACOT8","KRT79","poor",0.564,0.3,0.123
"195","O14734","Q7Z794",1,1,"ACOT8","KRT77","poor",0.494,0.392,0.165
"196","O14734","Q9NSB2",1,1,"ACOT8","KRT84","poor",0.564,0.143,0.109
"197","O14737","P50991",2,1,"PDCD5","CCT4","poor",0.667,0.497,0.267
"198","O14776","P15311",1,1,"TCERG1","EZR","poor",0.303,0.667,0.195
"199","O14776","P26038",1,1,"TCERG1","MSN","poor",0.351,0.625,0.139
"200","O14776","P35241",1,1,"TCERG1","RDX","poor",0.237,0.645,0.131
"201","O14818","P09884",2,1,"PSMA7","POLA1","poor",0.68,0.497,0.235
"202","O14818","P25789",15,3,"PSMA7","PSMA4","rich",0.937,1,1
"203","O14818","P35998",2,1,"PSMA7","PSMC2","poor",0.768,0.528,1
"204","O14979","P06396",2,2,"HNRNPDL","GSN","poor",0.497,0.502,0.779
"205","O14979","P07910",1,1,"HNRNPDL","HNRNPC","poor",0.583,0.809,0.341
"206","O14979","Q14103",1,1,"HNRNPDL","HNRNPD","poor",0.685,0.785,1
"207","O14979","Q14119",1,1,"HNRNPDL","VEZF1","poor",0.759,0.475,0.422
"208","O14979","Q8WXH0",2,2,"HNRNPDL","SYNE2","poor",0.526,0.495,0.105
"209","O14981","Q12874",4,1,"BTAF1","SF3A3","poor",0.747,0.312,0.186
"210","O14981","Q8NC51",1,1,"BTAF1","SERBP1","poor",0.533,0.328,0.335
"211","O15020","P12270",1,1,"SPTBN2","TPR","poor",0.516,0.476,0.246
"212","O15020","Q13813",6,1,"SPTBN2","SPTAN1","poor",0.779,0.77,0.486
"213","O15020","Q7KZF4",1,1,"SPTBN2","SND1","poor",0.549,0.389,0.207
"214","O15027","P20810",1,1,"SEC16A","CAST","poor",0.765,1,0.17
"215","O15031","Q14692",1,1,"PLXNB2","BMS1","poor",0.262,0.203,0.101
"216","O15042","O60814",1,1,"U2SURP","H2BC12","poor",0.701,0.676,0.133
"217","O15042","P06899",1,1,"U2SURP","H2BC11","poor",0.596,0.663,0.133
"218","O15042","P57053",1,1,"U2SURP","H2BC12L","poor",0.701,0.585,0.037
"219","O15042","P62807",1,1,"U2SURP","H2BC4","poor",0.651,0.722,0.038
"220","O15042","Q16778",1,1,"U2SURP","H2BC21","poor",0.651,0.711,0.038
"221","O15143","O15144",2,1,"ARPC1B","ARPC2","poor",0.755,1,0.455
"222","O15143","P61158",1,1,"ARPC1B","ACTR3","poor",0.804,0.882,0.26
"223","O15143","P61160",3,2,"ARPC1B","ACTR2","rich",0.78,0.882,0.246
"224","O15144","P61158",1,1,"ARPC2","ACTR3","poor",0.831,0.882,0.544
"225","O15144","P61160",5,3,"ARPC2","ACTR2","poor",0.792,0.882,0.436
"226","O15145","P61158",7,3,"ARPC3","ACTR3","rich",0.91,0.882,0.47
"227","O15145","P61160",3,1,"ARPC3","ACTR2","poor",0.84,0.882,0.352
"228","O15212","P50991",5,1,"PFDN6","CCT4","poor",0.52,0.55,0.505
"229","O15269","P62847",1,1,"SPTLC1","RPS24","poor",0.535,0.438,0.304
"230","O15305","P14618",1,1,"PMM2","PKM","poor",0.524,0.507,0.207
"231","O15347","P26583",1,1,"HMGB3","HMGB2","poor",0.789,0.815,0.522
"232","O15347","P68431",2,1,"HMGB3","H3C1","poor",0.596,0.751,0.331
"233","O15347","P84243",2,1,"HMGB3","H3-3A","poor",0.644,0.574,0.241
"234","O15347","Q15008",1,1,"HMGB3","PSMD6","poor",0.517,1,0.269
"235","O15347","Q16695",2,1,"HMGB3","H3-4","poor",0.707,0.762,0.237
"236","O15347","Q5TEC6",2,1,"HMGB3","H3-7","poor",0.732,0.689,0
"237","O15347","Q6NXT2",2,1,"HMGB3","H3-5","poor",0.765,0.576,0.178
"238","O15347","Q71DI3",2,1,"HMGB3","H3C15","poor",0.654,0.762,0.237
"239","O15355","P10412",1,1,"PPM1G","H1-4","poor",0.596,0.421,0.166
"240","O15355","P16401",1,1,"PPM1G","H1-5","poor",0.655,0.421,0.155
"241","O15355","P16403",1,1,"PPM1G","H1-2","poor",0.596,0.397,0.166
"242","O15355","P68431",1,1,"PPM1G","H3C1","poor",0.722,0.494,0.201
"243","O15355","Q16695",1,1,"PPM1G","H3-4","poor",0.641,0.474,0.12
"244","O15355","Q5TEC6",1,1,"PPM1G","H3-7","poor",0.715,0.329,0
