"","Protein1","Protein2","Spectra_Count","Site_Count","Gene1","Gene2","Context","CC","MF","BP"
"3558","P68431","Q71UI9",42,3,"H3C1","H2AZ2","rich",0.775,0.703,0.615
"3559","P68431","Q7L7L0",152,19,"H3C1","H2AW","rich",0,0,0
"3560","P68431","Q8IUE6",35,10,"H3C1","H2AC21","rich",0.775,0.833,0.513
"3561","P68431","Q8N257",144,23,"H3C1","H2BU1","rich",0,0,0
"3562","P68431","Q92522",1,1,"H3C1","H1-10","poor",0.717,0.804,0.533
"3563","P68431","Q92538",1,1,"H3C1","GBF1","poor",0.581,0.501,0.221
"3564","P68431","Q93077",153,20,"H3C1","H2AC6","rich",0.825,0.833,0.442
"3565","P68431","Q93079",189,38,"H3C1","H2BC9","rich",0.871,0.885,1
"3566","P68431","Q96A08",97,6,"H3C1","H2BC1","rich",0.732,0.853,0.58
"3567","P68431","Q96AG4",1,1,"H3C1","LRRC59","poor",0.585,0.71,0.184
"3568","P68431","Q96BJ3",3,1,"H3C1","AIDA","poor",0.563,0.626,0.166
"3569","P68431","Q96CB8",3,2,"H3C1","INTS12","rich",0.635,0.603,0.25
"3570","P68431","Q96KK5",159,22,"H3C1","H2AC12","rich",0.775,0.747,0.513
"3571","P68431","Q96QV6",24,7,"H3C1","H2AC1","rich",0.755,0.782,0.595
"3572","P68431","Q99877",180,34,"H3C1","H2BC15","rich",0.803,0.881,1
"3573","P68431","Q99878",155,19,"H3C1","H2AC14","rich",0,0,0
"3574","P68431","Q99879",148,19,"H3C1","H2BC14","rich",0.803,0.881,1
"3575","P68431","Q99880",180,34,"H3C1","H2BC13","rich",0.803,0.962,1
"3576","P68431","Q9BTM1",91,15,"H3C1","H2AJ","rich",0.775,0.747,0.513
"3577","P68431","Q9BXS6",1,1,"H3C1","NUSAP1","poor",0.504,0.756,0.249
"3578","P68431","Q9H0G5",1,1,"H3C1","NSRP1","poor",0.683,0.689,0.287
"3579","P68431","Q9H8H2",1,1,"H3C1","DDX31","poor",0.593,0.541,0.264
"3580","P68431","Q9HB71",1,1,"H3C1","CACYBP","poor",0.696,0.659,0.069
"3581","P68431","Q9HC52",1,1,"H3C1","CBX8","poor",0.675,0.593,0.412
"3582","P68431","Q9NPD8",3,1,"H3C1","UBE2T","poor",0.618,0.498,0.241
"3583","P68431","Q9NR30",1,1,"H3C1","DDX21","poor",0.686,0.532,0.32
"3584","P68431","Q9NRR4",5,1,"H3C1","DROSHA","poor",0.592,0.6,0.279
"3585","P68431","Q9UPQ0",6,2,"H3C1","LIMCH1","poor",0.399,0.397,0.23
"3586","P68431","Q9Y520",1,1,"H3C1","PRRC2C","poor",0.493,0.704,0.264
"3587","P68431","Q9Y6F1",1,1,"H3C1","PARP3","poor",0.624,0.342,0.256
"3588","P78316","P84243",1,1,"NOP14","H3-3A","poor",0.594,0.465,0.124
"3589","P78316","Q13206",1,1,"NOP14","DDX10","poor",0.697,0.502,0.688
"3590","P78316","Q5QNW6",1,1,"NOP14","H2BC18","poor",0.53,0.502,0
"3591","P78316","Q5TEC6",1,1,"NOP14","H3-7","poor",0.552,0.522,0
"3592","P78316","Q6NXT2",1,1,"NOP14","H3-5","poor",0.545,0.493,0.153
"3593","P78316","Q71DI3",1,1,"NOP14","H3C15","poor",0.551,0.603,0.152
"3594","P78316","Q93079",1,1,"NOP14","H2BC9","poor",0.587,0.661,0.169
"3595","P78316","Q99877",1,1,"NOP14","H2BC15","poor",0.53,0.522,0.169
"3596","P78324","Q9UFW8",1,1,"SIRPA","CGGBP1","poor",0.264,0.501,0.333
"3597","P78324","Q9Y520",1,1,"SIRPA","PRRC2C","poor",0.527,0.509,0.083
"3598","P78347","Q12830",1,1,"GTF2I","BPTF","poor",0.691,0.525,0.466
"3599","P78347","Q14185",1,1,"GTF2I","DOCK1","poor",0.794,0.446,0.119
"3600","P78347","Q2KHM9",1,1,"GTF2I","KIAA0753","poor",0.509,0.46,0.045
"3601","P78347","Q7Z2W4",1,1,"GTF2I","ZC3HAV1","poor",0.801,0.55,0.186
"3602","P78371","Q6P1J9",1,1,"CCT2","CDC73","poor",0.481,0.488,0.313
"3603","P78371","Q99832",3,2,"CCT2","CCT7","rich",0.854,0.967,0.901
"3604","P78385","Q04695",8,2,"KRT83","KRT17","poor",0.743,0.871,0.586
"3605","P78385","Q99456",4,1,"KRT83","KRT12","poor",0.801,0.743,0.543
"3606","P78386","Q04695",8,2,"KRT85","KRT17","poor",0.743,0.949,0.613
"3607","P78386","Q99456",4,1,"KRT85","KRT12","poor",0.801,1,0.58
"3608","P78527","Q02809",1,1,"PRKDC","PLOD1","poor",0.479,0.428,0.212
"3609","P78527","Q04637",1,1,"PRKDC","EIF4G1","poor",0.671,0.652,0.401
"3610","P78527","Q05682",3,2,"PRKDC","CALD1","poor",0.486,0.482,0.142
"3611","P78527","Q13907",1,1,"PRKDC","IDI1","poor",0.467,0.193,0.097
"3612","P78527","Q14151",1,1,"PRKDC","SAFB2","poor",0.603,0.58,0.253
"3613","P78527","Q8IWZ3",1,1,"PRKDC","ANKHD1","poor",0.841,0.551,1
"3614","P78527","Q8WXH0",3,2,"PRKDC","SYNE2","poor",0.564,0.409,0.135
"3615","P78527","Q99873",1,1,"PRKDC","PRMT1","poor",0.624,0.556,0.466
"3616","P78527","Q9Y4F1",1,1,"PRKDC","FARP1","poor",0.422,0.432,0.202
"3617","P80303","Q14241",1,1,"NUCB2","ELOA","poor",0.569,1,0.118
"3618","P82979","Q7Z7A1",1,1,"SARNP","CNTRL","poor",0.406,1,0.071
"3619","P83731","Q12874",3,1,"RPL24","SF3A3","poor",0.413,0.751,0.191
"3620","P83731","Q13427",1,1,"RPL24","PPIG","poor",0.66,0.69,0.238
"3621","P83731","Q14195",1,1,"RPL24","DPYSL3","poor",0.641,0.554,0.242
"3622","P83731","Q14566",2,1,"RPL24","MCM6","poor",0.409,0.492,0.325
"3623","P84090","Q9NYF8",5,2,"ERH","BCLAF1","rich",0.726,0.786,0.293
"3624","P84098","Q14320",2,1,"RPL19","FAM50A","poor",0.42,0.845,0.229
"3625","P84243","Q01831",2,2,"H3-3A","XPC","rich",0.68,0.477,0.098
"3626","P84243","Q02539",50,22,"H3-3A","H1-1","rich",0.76,0.783,0.491
"3627","P84243","Q13185",5,2,"H3-3A","CBX3","poor",0.71,0.604,0.363
"3628","P84243","Q13191",1,1,"H3-3A","CBLB","poor",0.496,0.455,0.145
"3629","P84243","Q14119",1,1,"H3-3A","VEZF1","poor",0.604,0.577,0.124
"3630","P84243","Q14241",1,1,"H3-3A","ELOA","poor",0.724,1,0.072
"3631","P84243","Q14315",1,1,"H3-3A","FLNC","poor",0.475,0.553,0.199
"3632","P84243","Q14974",1,1,"H3-3A","KPNB1","poor",0.685,0.553,0.176
"3633","P84243","Q14978",1,1,"H3-3A","NOLC1","poor",0.613,0.49,0.209
"3634","P84243","Q14980",1,1,"H3-3A","NUMA1","poor",0.577,0.589,0.299
"3635","P84243","Q15003",3,1,"H3-3A","NCAPH","poor",0.625,0.531,0.337
"3636","P84243","Q15050",1,1,"H3-3A","RRS1","poor",0.599,0.53,0.208
"3637","P84243","Q16777",95,16,"H3-3A","H2AC20","rich",0.797,0.768,0.416
"3638","P84243","Q16778",192,36,"H3-3A","H2BC21","rich",0.834,0.823,0.324
"3639","P84243","Q53EL6",2,1,"H3-3A","PDCD4","poor",0.536,0.56,0.145
"3640","P84243","Q5QNW6",173,32,"H3-3A","H2BC18","rich",0.809,0.735,0
"3641","P84243","Q5SSJ5",1,1,"H3-3A","HP1BP3","poor",0.745,0.644,0.491
"3642","P84243","Q6DN03",14,6,"H3-3A","H2BC20P","rich",0,0,0
"3643","P84243","Q6DRA6",14,6,"H3-3A","H2BC19P","rich",0.676,0.765,0
"3644","P84243","Q6FI13",153,20,"H3-3A","H2AC18","rich",0.797,0.82,0.416
"3645","P84243","Q71UI9",42,3,"H3-3A","H2AZ2","rich",0.797,0.726,0.505
"3646","P84243","Q7L7L0",146,17,"H3-3A","H2AW","rich",0,0,0
"3647","P84243","Q8IUE6",32,9,"H3-3A","H2AC21","rich",0.797,0.82,0.416
"3648","P84243","Q8N257",138,20,"H3-3A","H2BU1","rich",0,0,0
"3649","P84243","Q92522",1,1,"H3-3A","H1-10","poor",0.772,0.705,0.545
"3650","P84243","Q92538",1,1,"H3-3A","GBF1","poor",0.535,0.415,0.199
"3651","P84243","Q93077",147,18,"H3-3A","H2AC6","rich",0.843,0.82,0.428
"3652","P84243","Q93079",183,35,"H3-3A","H2BC9","rich",0.876,0.784,1
"3653","P84243","Q96A08",85,5,"H3-3A","H2BC1","rich",0.806,0.752,0.493
"3654","P84243","Q96AG4",1,1,"H3-3A","LRRC59","poor",0.505,0.525,0.193
"3655","P84243","Q96BJ3",3,1,"H3-3A","AIDA","poor",0.459,0.517,0.191
"3656","P84243","Q96CB8",3,2,"H3-3A","INTS12","rich",0.645,0.483,0.074
"3657","P84243","Q96KK5",153,20,"H3-3A","H2AC12","rich",0.797,0.768,0.416
"3658","P84243","Q96QV6",21,6,"H3-3A","H2AC1","rich",0.854,0.801,0.551
"3659","P84243","Q99877",174,31,"H3-3A","H2BC15","rich",0.809,0.765,1
"3660","P84243","Q99878",149,17,"H3-3A","H2AC14","rich",0,0,0
"3661","P84243","Q99879",144,18,"H3-3A","H2BC14","rich",0.809,0.765,1
"3662","P84243","Q99880",174,31,"H3-3A","H2BC13","rich",0.809,0.823,1
"3663","P84243","Q9BTM1",85,13,"H3-3A","H2AJ","rich",0.797,0.768,0.416
"3664","P84243","Q9BXS6",1,1,"H3-3A","NUSAP1","poor",0.555,0.611,0.274
"3665","P84243","Q9H0G5",1,1,"H3-3A","NSRP1","poor",0.692,0.536,0.108
"3666","P84243","Q9H8H2",1,1,"H3-3A","DDX31","poor",0.608,0.444,0.213
"3667","P84243","Q9HB71",1,1,"H3-3A","CACYBP","poor",0.693,0.574,0.066
"3668","P84243","Q9HC52",1,1,"H3-3A","CBX8","poor",0.701,0.496,0.369
"3669","P84243","Q9NPD8",3,1,"H3-3A","UBE2T","poor",0.634,0.436,0.086
"3670","P84243","Q9NR30",1,1,"H3-3A","DDX21","poor",0.649,0.403,0.193
"3671","P84243","Q9NRR4",5,1,"H3-3A","DROSHA","poor",0.593,0.52,0.108
"3672","P84243","Q9UPQ0",6,2,"H3-3A","LIMCH1","poor",0.4,0.327,0.247
"3673","P84243","Q9Y520",1,1,"H3-3A","PRRC2C","poor",0.398,0.56,0.279
"3674","P84243","Q9Y6F1",1,1,"H3-3A","PARP3","poor",0.651,0.295,0.185
"3675","P99999","Q13177",1,1,"CYCS","PAK2","poor",0.643,0.463,0.315
"3676","P99999","Q8NI27",1,1,"CYCS","THOC2","poor",0.536,0.558,0.158
"3677","Q00610","Q14671",1,1,"CLTC","PUM1","poor",0.469,0.744,0.259
"3678","Q00610","Q9UQE7",4,1,"CLTC","SMC3","poor",0.498,0.537,0.404
"3679","Q00796","Q8NF91",1,1,"SORD","SYNE1","poor",0.544,0.412,0.08
"3680","Q00839","Q16543",1,1,"HNRNPU","CDC37","poor",0.488,0.452,0.31
"3681","Q00839","Q16777",1,1,"HNRNPU","H2AC20","poor",0.47,0.4,0.229
"3682","Q00839","Q5T4S7",1,1,"HNRNPU","UBR4","poor",0.629,0.385,0.146
"3683","Q00839","Q6FI13",1,1,"HNRNPU","H2AC18","poor",0.47,0.468,0.229
"3684","Q00839","Q7L7L0",1,1,"HNRNPU","H2AW","poor",0,0,0
"3685","Q00839","Q8IUE6",1,1,"HNRNPU","H2AC21","poor",0.47,0.468,0.229
"3686","Q00839","Q93077",1,1,"HNRNPU","H2AC6","poor",0.52,0.468,0.224
"3687","Q00839","Q96KK5",1,1,"HNRNPU","H2AC12","poor",0.47,0.4,0.229
"3688","Q00839","Q96P16",1,1,"HNRNPU","RPRD1A","poor",0.53,0.466,0.229
"3689","Q00839","Q96QV6",1,1,"HNRNPU","H2AC1","poor",0.52,0.388,0.181
"3690","Q00839","Q99878",1,1,"HNRNPU","H2AC14","poor",0,0,0
"3691","Q00839","Q9BTM1",1,1,"HNRNPU","H2AJ","poor",0.47,0.4,0.229
"3692","Q00839","Q9UKJ3",1,1,"HNRNPU","GPATCH8","poor",0.508,0.643,0.467
"3693","Q01082","Q13813",16,6,"SPTBN1","SPTAN1","rich",0.802,0.846,0.364
"3694","Q01082","Q7KZF4",1,1,"SPTBN1","SND1","poor",0.595,0.58,0.209
"3695","Q01085","Q8IUE6",2,1,"TIAL1","H2AC21","poor",0.552,0.538,0.238
"3696","Q01085","Q96QV6",2,1,"TIAL1","H2AC1","poor",0.569,0.433,0.141
"3697","Q01105","Q13561",1,1,"SET","DCTN2","poor",0.605,0.586,0.104
"3698","Q01469","Q9UGN5",1,1,"FABP5","PARP2","poor",0.546,0.327,0.197
"3699","Q01484","Q15365",1,1,"ANK2","PCBP1","poor",0.567,0.51,0.066
"3700","Q01484","Q562R1",2,1,"ANK2","ACTBL2","poor",0.569,0.682,0.213
"3701","Q01484","Q96AX1",1,1,"ANK2","VPS33A","poor",0.562,1,0.309
"3702","Q01518","Q562R1",1,1,"CAP1","ACTBL2","poor",0.634,0.583,0.451
"3703","Q01518","Q9UKS6",5,1,"CAP1","PACSIN3","poor",0.752,0.683,0.382
"3704","Q01546","Q03989",1,1,"KRT76","ARID5A","poor",0.538,0.479,0.146
"3705","Q01546","Q04695",64,13,"KRT76","KRT17","rich",0.718,0.871,0.583
"3706","Q01813","Q03001",1,1,"PFKP","DST","poor",0.638,0.566,0.168
"3707","Q01813","Q5VTE0",1,1,"PFKP","EEF1A1P5","poor",0.847,0.386,0.207
"3708","Q01813","Q9UNH7",1,1,"PFKP","SNX6","poor",0.691,0.518,0.182
"3709","Q01831","Q16695",1,1,"XPC","H3-4","poor",0.693,0.619,0.072
"3710","Q01831","Q5TEC6",2,2,"XPC","H3-7","rich",0.704,0.522,0
"3711","Q01831","Q6NXT2",2,2,"XPC","H3-5","rich",0.733,0.49,0.196
"3712","Q01831","Q71DI3",2,2,"XPC","H3C15","rich",0.689,0.619,0.072
"3713","Q01831","Q9ULW0",1,1,"XPC","TPX2","poor",0.701,0.467,0.204
"3714","Q02040","Q9BXJ9",1,1,"AKAP17A","NAA15","poor",0.78,0.753,0.352
"3715","Q02040","Q9BY77",1,1,"AKAP17A","POLDIP3","poor",0.885,0.883,0.256
"3716","Q02241","Q15459",1,1,"KIF23","SF3A1","poor",0.548,0.48,0.104
"3717","Q02539","Q14978",1,1,"H1-1","NOLC1","poor",0.644,0.464,0.226
"3718","Q02539","Q16695",43,17,"H1-1","H3-4","rich",0.795,0.808,0.49
"3719","Q02539","Q16777",12,4,"H1-1","H2AC20","rich",0.75,0.733,0.279
"3720","Q02539","Q16778",4,4,"H1-1","H2BC21","rich",0.761,0.808,0.275
"3721","Q02539","Q29RF7",1,1,"H1-1","PDS5A","poor",0.778,1,0.27
"3722","Q02539","Q5QNW6",2,2,"H1-1","H2BC18","rich",0.782,0.714,0
"3723","Q02539","Q5TEC6",50,22,"H1-1","H3-7","rich",0.81,0.734,0
"3724","Q02539","Q6FI13",26,8,"H1-1","H2AC18","rich",0.75,0.794,0.279
"3725","Q02539","Q6NXT2",50,22,"H1-1","H3-5","rich",0.878,0.826,0.382
"3726","Q02539","Q71DI3",50,22,"H1-1","H3C15","rich",0.801,0.808,0.49
"3727","Q02539","Q7L7L0",26,8,"H1-1","H2AW","rich",0,0,0
"3728","Q02539","Q8IUE6",5,2,"H1-1","H2AC21","poor",0.75,0.794,0.279
"3729","Q02539","Q8N257",1,1,"H1-1","H2BU1","poor",0,0,0
"3730","Q02539","Q8NC51",1,1,"H1-1","SERBP1","poor",0.575,0.559,0.236
"3731","Q02539","Q93077",26,8,"H1-1","H2AC6","rich",0.801,0.794,0.286
"3732","Q02539","Q93079",2,2,"H1-1","H2BC9","rich",0.747,0.772,1
"3733","Q02539","Q96A08",1,1,"H1-1","H2BC1","poor",0.868,0.733,0.452
"3734","Q02539","Q96KK5",26,8,"H1-1","H2AC12","rich",0.75,0.733,0.279
"3735","Q02539","Q96QV6",5,2,"H1-1","H2AC1","poor",0.75,0.755,0.333
"3736","Q02539","Q99877",2,2,"H1-1","H2BC15","rich",0.782,0.734,1
"3737","Q02539","Q99878",23,7,"H1-1","H2AC14","rich",0,0,0
"3738","Q02539","Q99879",2,2,"H1-1","H2BC14","rich",0.782,0.734,1
"3739","Q02539","Q99880",2,2,"H1-1","H2BC13","rich",0.782,0.808,1
"3740","Q02539","Q9BTM1",12,4,"H1-1","H2AJ","rich",0.75,0.733,0.279
"3741","Q02539","Q9Y314",1,1,"H1-1","NOSIP","poor",0.623,0.522,0.11
"3742","Q02539","Q9Y490",1,1,"H1-1","TLN1","poor",0.532,0.536,0.216
"3743","Q02539","Q9Y520",1,1,"H1-1","PRRC2C","poor",0.434,0.591,0.201
"3744","Q02543","Q9GZR7",1,1,"RPL18A","DDX24","poor",0.593,0.589,0.3
"3745","Q02790","Q58FF7",2,2,"FKBP4","HSP90AB3P","rich",0.721,0.518,0.339
"3746","Q02818","Q14241",1,1,"NUCB1","ELOA","poor",0.634,1,0.118
"3747","Q02818","Q9Y266",2,1,"NUCB1","NUDC","poor",0.499,0.625,0.254
"3748","Q02878","Q5SRE5",1,1,"RPL6","NUP188","poor",0.682,0.543,0.044
"3749","Q02878","Q5SSJ5",2,2,"RPL6","HP1BP3","poor",0.524,0.743,0.412
"3750","Q02878","Q9UKM9",1,1,"RPL6","RALY","poor",0.461,0.721,0.362
"3751","Q02878","Q9UPN3",2,2,"RPL6","MACF1","poor",0.645,0.785,0.117
"3752","Q03001","Q13813",1,1,"DST","SPTAN1","poor",0.655,0.807,0.314
"3753","Q03001","Q15233",1,1,"DST","NONO","poor",0.624,0.552,0.183
"3754","Q03001","Q16181",1,1,"DST","SEPTIN7","poor",0.642,0.625,0.23
"3755","Q03001","Q5RI15",1,1,"DST","COX20","poor",0.409,1,0.33
"3756","Q03001","Q71U36",1,1,"DST","TUBA1A","poor",0.683,0.697,0.355
"3757","Q03001","Q86SE5",1,1,"DST","RALYL","poor",0.435,0.601,0
"3758","Q03252","Q0ZGT2",1,1,"LMNB2","NEXN","poor",0.321,0.522,0.273
"3759","Q03252","Q16778",1,1,"LMNB2","H2BC21","poor",0.511,0.666,0.202
"3760","Q03989","Q5XKE5",1,1,"ARID5A","KRT79","poor",0.31,0.498,0.125
"3761","Q03989","Q9NSB2",1,1,"ARID5A","KRT84","poor",0.31,0.148,0.169
"3762","Q03989","Q9NX20",1,1,"ARID5A","MRPL16","poor",0.497,0.305,0.345
"3763","Q04637","Q14139",1,1,"EIF4G1","UBE4A","poor",0.7,0.499,0.18
"3764","Q04637","Q14240",1,1,"EIF4G1","EIF4A2","poor",0.693,0.75,0.4
"3765","Q04637","Q6AZZ1",1,1,"EIF4G1","TRIM68","poor",0.766,0.526,0.301
"3766","Q04637","Q8WZ42",2,1,"EIF4G1","TTN","poor",0.602,0.58,0.289
"3767","Q04637","Q96MP5",1,1,"EIF4G1","ZSWIM3","poor",0,0.51,0
"3768","Q04637","Q9BUL8",1,1,"EIF4G1","PDCD10","poor",0.66,0.548,0.367
"3769","Q04637","Q9UPN9",1,1,"EIF4G1","TRIM33","poor",0.503,0.596,0.241
"3770","Q04637","Q9Y281",1,1,"EIF4G1","CFL2","poor",0.634,0.531,0.168
"3771","Q04695","Q13464",2,1,"KRT17","ROCK1","poor",0.62,0.384,0.295
"3772","Q04695","Q14533",8,2,"KRT17","KRT81","poor",0.743,0.871,0.631
"3773","Q04695","Q15149",1,1,"KRT17","PLEC","poor",0.638,0.726,0.333
"3774","Q04695","Q5XKE5",64,13,"KRT17","KRT79","rich",0.722,0.855,0.631
"3775","Q04695","Q7Z794",6,3,"KRT17","KRT77","poor",0.911,0.823,0.591
"3776","Q04695","Q9H6T3",1,1,"KRT17","RPAP3","poor",0.416,1,0.106
"3777","Q04695","Q9NSB2",72,15,"KRT17","KRT84","rich",0.722,0.613,0.686
"3778","Q04695","Q9NTJ3",1,1,"KRT17","SMC4","poor",0.548,0.496,0.272
"3779","Q05519","Q6UB35",1,1,"SRSF11","MTHFD1L","poor",0.56,0.321,0.217
"3780","Q05639","Q13200",1,1,"EEF1A2","PSMD2","poor",0.478,0.444,0.409
"3781","Q05639","Q13206",1,1,"EEF1A2","DDX10","poor",0.396,0.568,0.154
"3782","Q05639","Q15397",2,1,"EEF1A2","PUM3","poor",0.414,0.611,0.469
"3783","Q05639","Q6ZUT9",1,1,"EEF1A2","DENND5B","poor",0.591,0.256,0.086
"3784","Q05639","Q8WXX0",7,1,"EEF1A2","DNAH7","poor",0.454,0.544,0.072
"3785","Q05639","Q9BTV4",1,1,"EEF1A2","TMEM43","poor",0.407,0.545,0.182
"3786","Q05639","Q9HAU0",1,1,"EEF1A2","PLEKHA5","poor",0.622,0.409,0.102
"3787","Q05639","Q9NRF9",1,1,"EEF1A2","POLE3","poor",0.296,0.486,0.33
"3788","Q05639","Q9NVA2",1,1,"EEF1A2","SEPTIN11","poor",0.501,0.739,0.13
"3789","Q05682","Q562R1",13,5,"CALD1","ACTBL2","poor",0.536,0.616,0.299
"3790","Q05682","Q9UHD8",1,1,"CALD1","SEPTIN9","poor",0.724,0.665,0.134
"3791","Q06210","Q8WZ42",1,1,"GFPT1","TTN","poor",0.672,0.328,0.207
"3792","Q06323","Q9UL46",6,2,"PSME1","PSME2","poor",0.959,0.958,0.863
"3793","Q06830","Q14204",1,1,"PRDX1","DYNC1H1","poor",0.598,0.603,0.258
"3794","Q06830","Q9H2M9",1,1,"PRDX1","RAB3GAP2","poor",0.538,0.44,0.138
"3795","Q08043","Q9UQ80",1,1,"ACTN3","PA2G4","poor",0.545,0.551,0.232
"3796","Q08752","Q16778",1,1,"PPID","H2BC21","poor",0.791,0.58,0.134
"3797","Q08752","Q6DN03",1,1,"PPID","H2BC20P","poor",0,0,0
"3798","Q08752","Q6DRA6",1,1,"PPID","H2BC19P","poor",0.634,0.38,0
"3799","Q08752","Q8N257",1,1,"PPID","H2BU1","poor",0,0,0
"3800","Q08752","Q93079",1,1,"PPID","H2BC9","poor",0.777,0.603,0.502
"3801","Q08752","Q99877",1,1,"PPID","H2BC15","poor",0.829,0.38,0.502
"3802","Q08752","Q99880",1,1,"PPID","H2BC13","poor",0.829,0.58,0.502
"3803","Q08945","Q9UNX3",1,1,"SSRP1","RPL26L1","poor",0.317,0.76,0.284
"3804","Q08945","Q9Y5B9",5,2,"SSRP1","SUPT16H","poor",0.966,0.935,0.808
"3805","Q08AM6","Q96ST3",1,1,"VAC14","SIN3A","poor",0.468,0.516,0.231
"3806","Q09161","Q6DD88",2,1,"NCBP1","ATL3","poor",0.496,0.465,0.12
"3807","Q09161","Q7Z406",1,1,"NCBP1","MYH14","poor",0.49,0.365,0.112
"3808","Q09666","Q13151",1,1,"AHNAK","HNRNPA0","poor",0.437,0.615,0.282
"3809","Q09666","Q14008",5,4,"AHNAK","CKAP5","poor",0.69,0.637,0.172
"3810","Q09666","Q14839",12,8,"AHNAK","CHD4","poor",0.627,0.506,0.316
"3811","Q09666","Q7Z406",1,1,"AHNAK","MYH14","poor",0.68,0.444,0.106
"3812","Q09666","Q92794",1,1,"AHNAK","KAT6A","poor",0.534,0.387,0.296
"3813","Q09666","Q9H0X9",1,1,"AHNAK","OSBPL5","poor",0.639,0.257,0.158
"3814","Q09666","Q9NYF8",1,1,"AHNAK","BCLAF1","poor",0.55,0.728,0.275
"3815","Q09666","Q9P225",1,1,"AHNAK","DNAH2","poor",0.336,0.404,0.086
"3816","Q09666","Q9UKM9",1,1,"AHNAK","RALY","poor",0.368,0.733,0.276
"3817","Q09666","Q9Y277",1,1,"AHNAK","VDAC3","poor",0.653,0.529,0.108
"3818","Q09666","Q9Y4G6",1,1,"AHNAK","TLN2","poor",0.7,0.684,0.152
"3819","Q09666","Q9Y6F1",1,1,"AHNAK","PARP3","poor",0.531,0.351,0.301
"3820","Q0ZGT2","Q13136",1,1,"NEXN","PPFIA1","poor",0.564,0.573,0.285
"3821","Q0ZGT2","Q562R1",2,1,"NEXN","ACTBL2","poor",0.542,0.418,0.504
"3822","Q12789","Q8IWZ3",1,1,"GTF3C1","ANKHD1","poor",0.469,0.722,0.032
"3823","Q12802","Q16778",1,1,"AKAP13","H2BC21","poor",0.648,0.508,0.087
"3824","Q12802","Q5QNW6",1,1,"AKAP13","H2BC18","poor",0.66,0.452,0
"3825","Q12802","Q8N257",1,1,"AKAP13","H2BU1","poor",0,0,0
"3826","Q12802","Q93079",1,1,"AKAP13","H2BC9","poor",0.631,0.548,0.165
"3827","Q12802","Q96A08",1,1,"AKAP13","H2BC1","poor",0.596,0.508,0.13
"3828","Q12802","Q99877",1,1,"AKAP13","H2BC15","poor",0.66,0.355,0.165
"3829","Q12802","Q99879",1,1,"AKAP13","H2BC14","poor",0.66,0.355,0.165
"3830","Q12802","Q99880",1,1,"AKAP13","H2BC13","poor",0.66,0.508,0.165
"3831","Q12830","Q13362",1,1,"BPTF","PPP2R5C","poor",0.672,0.414,0.153
"3832","Q12830","Q14687",1,1,"BPTF","GSE1","poor",0,1,0
"3833","Q12830","Q562R1",2,1,"BPTF","ACTBL2","poor",0.629,0.456,0.198
"3834","Q12830","Q9P2F6",1,1,"BPTF","ARHGAP20","poor",0.841,0.119,0.143
"3835","Q12830","Q9UQ88",1,1,"BPTF","CDK11A","poor",0.642,0.141,0.394
"3836","Q12873","Q9P2E9",1,1,"CHD3","RRBP1","poor",0.548,0.374,0.294
"3837","Q12874","Q15041",1,1,"SF3A3","ARL6IP1","poor",0.45,0.679,0.127
"3838","Q12874","Q15393",1,1,"SF3A3","SF3B3","poor",0.952,0.718,0.76
"3839","Q12874","Q15428",3,1,"SF3A3","SF3A2","poor",0.989,1,0.889
"3840","Q12874","Q15459",5,2,"SF3A3","SF3A1","poor",0.989,0.856,0.967
"3841","Q12874","Q16851",4,1,"SF3A3","UGP2","poor",0.616,0.586,0.272
"3842","Q12874","Q4G0J3",4,1,"SF3A3","LARP7","poor",0.738,0.826,0.489
"3843","Q12874","Q5SW79",1,1,"SF3A3","CEP170","poor",0.331,1,0
"3844","Q12874","Q92794",4,1,"SF3A3","KAT6A","poor",0.748,0.432,0.214
"3845","Q12874","Q99575",1,1,"SF3A3","POP1","poor",0.597,0.744,0.476
"3846","Q12874","Q9H694",1,1,"SF3A3","BICC1","poor",0.396,1,0.034
"3847","Q12904","Q13155",4,1,"AIMP1","AIMP2","poor",0.858,0.615,0.454
"3848","Q12904","Q16778",2,2,"AIMP1","H2BC21","poor",0.745,0.64,0.238
"3849","Q12904","Q5QNW6",1,1,"AIMP1","H2BC18","poor",0.687,0.489,0
"3850","Q12904","Q93079",1,1,"AIMP1","H2BC9","poor",0.684,0.659,0.103
"3851","Q12905","Q6NZI2",1,1,"ILF2","CAVIN1","poor",0.741,0.884,0.539
"3852","Q12905","Q96KR1",1,1,"ILF2","ZFR","poor",0.608,0.913,0
"3853","Q12996","Q14241",1,1,"CSTF3","ELOA","poor",0.67,1,0.332
"3854","Q13123","Q16778",5,2,"IK","H2BC21","poor",0.716,0.666,0.068
"3855","Q13123","Q5QNW6",1,1,"IK","H2BC18","poor",0.741,0.47,0
"3856","Q13123","Q6DN03",5,2,"IK","H2BC20P","poor",0,0,0
"3857","Q13123","Q6DRA6",5,2,"IK","H2BC19P","poor",0.627,0.471,0
"3858","Q13123","Q86UP2",1,1,"IK","KTN1","poor",0.517,0.738,0.183
"3859","Q13123","Q8N257",5,2,"IK","H2BU1","poor",0,0,0
"3860","Q13123","Q93079",5,2,"IK","H2BC9","poor",0.709,0.662,0.098
